Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [2463] ZUELLIG PHARMA (MEAD JOHNSON
From     : 09/01/2008 To 09/30/2008
Printed  : 10/17/2008 3:48pm annie

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
871204502093   ENFAGROW LACTO  FREE 1.6G/6         7  1,064.50     7,451.50|                                | 1,043.16     7,302.12
871204502092   ENFAGROW LACTO FREE 900G/6         24    662.25    15,894.00|                                |   648.82    15,571.68
871204502233   ENFAKID A+ VAN 1.6G/6               1    867.50       867.50|                                |   850.08       850.08
871204502233   ENFAKID A+ VAN 1.6G/6              11    911.00    10,021.00|                                |   892.58     9,818.38
871204502287   ENFAKID A+ VAN 950/6                2    550.00     1,100.00|                                |   568.96     1,137.92
871204502287   ENFAKID A+ VAN 950/6               22    577.50    12,705.00|                                |   565.90    12,449.80
871204502136   ENFALAC A+950GX6                    6    828.00     4,968.00|                                |   811.25     4,867.50
871204501341   ENFALAC LACTO FREE 850G/6           1    745.75       745.75|                                |   730.71       730.71
871204501341   ENFALAC LACTO FREE 850G/6           6    820.25     4,921.50|                                |   803.78     4,822.68
871204502119   ENFALAC REGULAR 180/36             10    152.75     1,527.50|                                |   149.68     1,496.80
871204502118   ENFALAC REGULAR 400X12              2    344.00       688.00|                                |   336.92       673.84
871204502117   ENFALAC REGULAR 950X6               5    703.25     3,516.25|                                |   688.98     3,444.90
871204502138   ENFAPRO A+950X6                    33    777.75    25,665.75|                                |   762.07    25,148.31
871204502088   ENFAPRO LACTO FREE W/DHA 35        12    337.50     4,050.00|                                |   330.58     3,966.96
871204502089   ENFAPRO LACTRO FREE W/DHA 9        14    720.50    10,087.00|                                |   705.97     9,883.58
871204502121   ENFAPRO REGULAR  950GX6            20    665.00    13,300.00|                                |   651.60    13,032.00
871204502123   ENFAPRO REGULAR 180X36              1    146.50       146.50|                                |   143.55       143.55
871204502123   ENFAPRO REGULAR 180X36             18    152.50     2,745.00|                                |   149.30     2,687.40
871204502122   ENFAPRO REGULAR 400X24             21    325.75     6,840.75|                                |   319.18     6,702.78
871204502091   ENFRGROW LACTO FREE 350G/24         1    265.75       265.75|                                |   260.55       260.55
871204502091   ENFRGROW LACTO FREE 350G/24        11    290.00     3,190.00|                                |   284.00     3,124.00
871204501837   LACTUM  RTD VANILLA 200ML/3        20     21.25       425.00|                                |    20.46       409.20
871204501837   LACTUM  RTD VANILLA 200ML/3       209     23.75     4,963.75|                                |    22.92     4,790.28
871204502190   LACTUM 1+ CHOCO 1.2X12             22    522.25    11,489.50|                                |   511.67    11,256.74
871204502188   LACTUM 1+ CHOCO 350X24             26    189.75     4,933.50|                                |   185.85     4,832.10
871204502191   LACTUM 1+ PALIN 1.6KGX6            80    690.00    55,200.00|                                |   676.10    54,088.00
871204502195   LACTUM 1+ PLAIN 150GX36           249     81.50    20,293.50|                                |    79.72    19,850.28
871204502192   LACTUM 1+ PLAIN 900X6             123    382.25    47,016.75|                                |   374.61    46,077.03
871204502189   LACTUM 1+CHOCO 900X6                3    419.00     1,257.00|                                |   410.60     1,231.80


Lopues East Center                                                                      Page: 2
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [2463] ZUELLIG PHARMA (MEAD JOHNSON
From     : 09/01/2008 To 09/30/2008
Printed  : 10/17/2008 3:48pm annie

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
871204502193   LACTUM 1+PLAIN 1.2KG.X12          146    476.50    69,569.00|                                |   467.02    68,184.92
871204502198   LACTUM 3+ CHOCO 1.2X12             27    522.25    14,100.75|                                |   511.67    13,815.09
871204502199   LACTUM 3+ PLAIN 150X36            109     81.50     8,883.50|                                |    79.72     8,689.48
871204502201   LACTUM 3+ PLAIN 900X6              56    382.25    21,406.00|                                |   374.61    20,978.16
871204502196   LACTUM 3+CHOCO 350X24              65    189.75    12,333.75|                                |   185.85    12,080.25
871204502197   LACTUM 3+CHOCO 900X6                6    419.00     2,514.00|                                |   410.60     2,463.60
871204502203   LACTUM 3+PALIN 1.6X6               38    690.00    26,220.00|                                |   676.10    25,691.80
871204502202   LACTUM 3+PLAIN 1.2X12             140    476.50    66,710.00|                                |   467.02    65,382.80
871204502204   LACTUM 6+ CHOCO 350X24             69    162.50    11,212.50|                                |   159.26    10,988.94
871204502205   LACTUM 6+ CHOCO 900X6               3    406.50     1,219.50|                                |   398.29     1,194.87
871204501836   LACTUM CHOCO RTD 200ML/32          10     21.25       212.50|                                |    20.46       204.60
871204501836   LACTUM CHOCO RTD 200ML/32         398     23.75     9,452.50|                                |    22.92     9,122.16
480013675002   LBB TODDLERS 250ML                 19    173.50     3,296.50|                                |   165.00     3,135.00
480013675001   LBB TODDLERS 60ML/12               19     65.75     1,249.25|                                |    62.58     1,189.02
871204500963   SUSTAGEN JR CHOCO 400G/24           6    207.75     1,246.50|                                |   203.45     1,220.70
871204500965   SUSTAGEN JR VANILLA 400G/24         7    204.00     1,428.00|                                |   199.79     1,398.53
871204501520   SUSTAGEN KID VANILLA  1KG/6        31    477.25    14,794.75|                                |   467.56    14,494.36
871204501519   SUSTAGEN KID VANILLA 400G/2        33    190.00     6,270.00|                                |   186.21     6,144.93
871204502086   SUSTAGEN PREM CHOCO 180G/36         4    173.75       695.00|                                |   170.15       680.60
871204502086   SUSTAGEN PREM CHOCO 180G/36        56    186.00    10,416.00|                                |   182.06    10,195.36
871204502064   SUSTAGEN PREM CHOCO 350G/24         2    318.50       637.00|                                |   312.12       624.24
871204502064   SUSTAGEN PREM CHOCO 350G/24         2    334.50       669.00|        2    317.78       635.50|   327.72       655.44
871204502064   SUSTAGEN PREM CHOCO 350G/24        62    334.50    20,739.00|                                |   327.72    20,318.64
871204502063   SUSTAGEN PREM CHOCO 900/6           1    687.00       687.00|                                |   673.20       673.20
871204502063   SUSTAGEN PREM CHOCO 900/6          21    728.25    15,293.25|                                |   713.59    14,985.39
871204502062   SUSTAGEN PREM MILK 350G/24          4    287.25     1,149.00|                                |   281.51     1,126.04
871204502062   SUSTAGEN PREM MILK 350G/24          9    316.00     2,844.00|                                |   309.67     2,787.03
871204502087   SUSTAGEN PREM MILK 900G/6           3    636.00     1,908.00|                                |   623.19     1,869.57
871204502087   SUSTAGEN PREM MILK 900G/6          10    699.50     6,995.00|                                |   685.51     6,855.10
871204500968   SUSTAGEN S/CHOCO 400G/24           57    179.75    10,245.75|                                |   176.03    10,033.71
871204500748   SUSTAGEN VANILLA 1KG/6              2    425.75       851.50|                                |   417.18       834.36
871204500969   SUSTAGEN VANILLA 400G/24            2    170.25       340.50|                                |   166.79       333.58
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
          Supplier Sub Total ---->          2,722.00             763,510.00|     2.00                 635.50|            747,784.41
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
