Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [1070] PEPSI COLA PROD. PHILS., INC
From     : 10/08/2008 To 10/22/2008
Printed  : 10/23/2008 1:55pm NEMIA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
480392507513   GATORADE OLYMPIC  LEMON 400        13    124.50     1,618.50|                                |   118.30     1,537.90
480392507514   GATORADE OLYMPIC B/BOLT 400        20    124.50     2,490.00|                                |   118.30     2,366.00
480392507511   GATORADE OLYMPIC GRAPE 400M        14    124.50     1,743.00|                                |   118.30     1,656.20
480392507512   GATORADE OLYMPIC ORANGE 400        12    124.50     1,494.00|                                |   118.30     1,419.60
480392507515   GATORADE OLYMPIC P/LMONADE          1    124.50       124.50|                                |   118.30       118.30
480392506814   GATORADE OLYMPIC PACK B/BOL        24    140.50     3,372.00|                                |   133.63     3,207.12
480392506811   GATORADE OLYMPIC PACK GRAPE        21    140.50     2,950.50|                                |   133.63     2,806.23
480392506813   GATORADE OLYMPIC PACK LEMON        17    140.50     2,388.50|                                |   133.63     2,271.71
480392506812   GATORADE OLYMPIC PACK ORANG        17    140.50     2,388.50|                                |   133.63     2,271.71
480392506815   GATORADE OLYMPIC PACK P/LEM         1    140.50       140.50|                                |   133.63       133.63
480392506810   GATORADE OLYMPIC PACK TROPI        22    140.50     3,091.00|                                |   133.63     2,939.86
480392524110   GATORADE ORANGE 1.5L/12            58     57.75     3,349.50|                                |    55.00     3,190.00
480392507112   GATORADE ORANGE 400ML/24           93     23.00     2,139.00|                                |    21.87     2,033.91
480392506112   GATORADE ORANGE CHILI 500ML       142     28.75     4,082.50|                                |    27.50     3,905.00
480392507215   GATORADE PINK LEMONADE 400G        48     23.00     1,104.00|                                |    21.87     1,049.76
480392506215   GATORADE PINK LEMONADE 500G        70     28.75     2,012.50|                                |    27.50     1,925.00
480392507110   GATORADE T/FRUIT 400ML/24         185     23.00     4,255.00|                                |    21.87     4,045.95
480392506110   GATORADE T/FRUIT 500ML/24         292     28.75     8,395.00|                                |    27.50     8,030.00
480392524112   GATORADE TROPICAL 1.5LX12          95     57.75     5,486.25|                                |    55.00     5,225.00
480392527014   LIPTON GREEN TEA 450MLX24          54     14.75       796.50|                                |    14.03       757.62
480392527013   LIPTON ICE TEA PEACH 450MLX        13     14.75       191.75|                                |    14.03       182.39
480392527012   LIPTON ICED TEA MANGO 450ML        17     14.75       250.75|                                |    14.03       238.51
480392501110   LIPTON LEM.I/TEA 1.5/12            22     40.00       880.00|                                |    38.00       836.00
480392527010   LIPTON LEMON TEA 450MLX24          37     14.75       545.75|                                |    14.03       519.11
480392501112   LIPTON RED I/TEA 1.5/12             1     40.00        40.00|                                |    38.00        38.00
480392527011   LIPTON RED TEA 450MLX24            43     14.75       634.25|                                |    14.03       603.29
2804778        MIRENDA ORANGE BOTTLE 24/8o        35      7.75       271.25|                                |     5.41       189.35
480392515116   MIRINDA ORANGE 1.5LT               21     33.75       708.75|                                |    32.16       675.36
480392503316   MIRINDA ORANGE 330ML/24            20     16.75       335.00|                                |    16.08       321.60


Lopues East Center                                                                      Page: 2
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [1070] PEPSI COLA PROD. PHILS., INC
From     : 10/08/2008 To 10/22/2008
Printed  : 10/23/2008 1:55pm NEMIA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
480392525116   MIRINDA ORANGE 500ML/12            13     19.75       256.75|                                |    18.91       245.83
480392503314   MOUNTAIN DEW 330ML/24             140     16.75     2,345.00|                                |    16.08     2,251.20
480392525114   MOUNTAIN DEW 500ML/24              61     19.75     1,204.75|                                |    18.91     1,153.51
480392515114   MT.DEW 1.5MLX12                   117     33.75     3,948.75|                                |    32.16     3,762.72
2804777        MT.DEW BOTTLE 24/12OZ             125      9.25     1,156.25|                                |     7.00       875.00
480392503315   MUG ROOT BEER 330ML/24            112     16.75     1,876.00|                                |    16.08     1,800.96
480392515128   PEP LIGHT 12/1.5LT                 23     33.75       776.25|                                |    32.16       739.68
480392503310   PEPSI  REG 330ML/24                88     16.75     1,474.00|                                |    16.08     1,415.04
480392504643   PEPSI LIGHT 330ML/6PCK/4           45     61.25     2,756.25|                                |    58.33     2,624.85
480392515129   PEPSI MAX 1.5MLX12                166     28.75     4,772.50|                                |    23.72     3,937.52
480392512014   PEPSI MAX 2LIT.X9                   1     34.50        34.50|        1      5.00         5.00|    32.69        32.69
480392512014   PEPSI MAX 2LIT.X9                 535     34.50    18,457.50|                                |    32.69    17,489.15
480392504642   PEPSI MAX 330ML 6PCK/4PCK          53     61.25     3,246.25|                                |    58.33     3,091.49
480392503338   PEPSI MAX 330MLX24                520     16.75     8,710.00|                                |    16.08     8,361.60
480392525132   PEPSI MAX 500MLX24                106     19.75     2,093.50|                                |    18.91     2,004.46
480392525110   PEPSI REG 24X500ML                 38     19.75       750.50|                                |    18.91       718.58
480392515110   PEPSI REG.1.5X12                   77     33.75     2,598.75|                                |    32.16     2,476.32
2804775        PEPSI REG.BOTTLE 24/8OZ            63      7.75       488.25|                                |     5.41       340.83
480392528001   PROPEL GALA APPLE 500MLX24         43     15.00       645.00|                                |    14.16       608.88
480392528003   PROPEL LEMON CALORIE FREE 5        65     15.00       975.00|                                |    14.38       934.70
480392528000   PROPEL MANDARIN ORA.500MLX2        39     15.00       585.00|                                |    14.16       552.24
480392528002   PROPEL ORANGE CALORIE FREE         59     15.00       885.00|                                |    14.38       848.42
480392529000   STING ENERGY DRINK 250ML/35        74     13.00       962.00|                                |    12.00       888.00
480392529000   STING ENERGY DRINK 250ML/35         2     18.00        36.00|                                |    17.00        34.00
480392529001   STING ENERGY DRINK 250ML/35        40     13.00       520.00|                                |    12.00       480.00
480392529001   STING ENERGY DRINK 250ML/35        16     18.00       288.00|                                |    17.00       272.00
480392505110   TROPICANA ORANGE 355ML /24        330     18.25     6,022.50|                                |    17.33     5,718.90
480392505110   TROPICANA ORANGE 355ML /24        431     19.00     8,189.00|                                |    18.00     7,758.00
480392508110   TROPICANA T/ORNGE1.5/12           501     44.25    22,169.25|                                |    42.00    21,042.00
480392505114   TROPICANA TWISTER JUICY PUL       468     19.00     8,892.00|                                |    18.26     8,545.68
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
          Supplier Sub Total ---->          7,699.00             220,038.25|     1.00                   5.00|            208,523.27
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
