Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [2843] WEALTH COLLECTION COMPANY,INC
From     : 10/01/2009 To 10/13/2009
Printed  : 10/14/2009 5:58pm SHEENA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
2654066        #7300 BRF.WHT 3-1 30                2    299.75       599.50|        2    239.80       479.60|   224.81       449.62
2654069        #7300 BRF.WHT 3-1 36                1    299.75       299.75|        1    239.80       239.80|   224.81       224.81
2654070        #7300 BRF.WHT 3-1 40                1    299.75       299.75|        1    269.78       269.75|   224.81       224.81
2654075        #7304 BRF.WHT 3-1 32                1    279.75       279.75|        1    223.80       223.80|   209.81       209.81
2654112        #7600 T/S WHT.S                     1    199.75       199.75|                                |   149.81       149.81
2654785        #7601 V/N T/S WHT.M                 2    199.75       399.50|        2    159.80       319.60|   149.81       299.62
2654785        #7601 V/N T/S WHT.M                 1    199.75       199.75|                                |   149.81       149.81
2654117        #7602 S/LESS WHT.M                  3    164.75       494.25|        3    131.80       395.40|   123.56       370.68
2654121        #7603 C.CHINO WHT.M                 1    199.75       199.75|        1    159.80       159.80|   149.81       149.81
2654789        #7603 C/CHINO WHT L                 1    199.75       199.75|        1    179.78       179.80|   149.81       149.81
2654124        #7606 V/N WHT.S/L M                 1    164.75       164.75|        1    131.80       131.80|   123.56       123.56
2654127        #7644 SANDO WHT.M                   2    129.75       259.50|                                |    97.31       194.62
2654126        #7644 SANDO WHT.S                   1    129.75       129.75|                                |    97.31        97.31
2654129        #7644 SANDO WHT.XL                  1    129.75       129.75|                                |    97.31        97.31
2654137        #7688C SANDO BLK.XL                 1    139.75       139.75|                                |   104.81       104.81
2654080        #7802 BRF.L BLK.G/LA                1    109.75       109.75|                                |    82.31        82.31
2654084        #7802-3 BRF/SUPP.L H                1    309.75       309.75|        1    247.80       247.80|   231.31       231.31
2654084        #7802-3 BRF/SUPP.L H                1    309.75       309.75|                                |   231.31       231.31
2654083        #7802-3 BRF/SUPP.M H                1    309.75       309.75|        1    278.78       278.75|   231.31       231.31
2654083        #7802-3 BRF/SUPP.M H                2    309.75       619.50|                                |   231.31       462.62
2654082        #7802-3 BRF/SUPP.S H                2    309.75       619.50|        2    247.80       495.60|   232.31       464.62
2654085        #7802-3 BRF/SUPP.XL                 1    309.75       309.75|                                |   232.31       232.31
2654092        #7804-3 S/BRF.L 3-1                 1    299.75       299.75|                                |   224.81       224.81
2654091        #7804-3 S/BRF.M 3-1                 1    299.75       299.75|                                |   224.81       224.81
2654095        #908 BOXER BRF.COL.M                2    149.75       299.50|        2    134.78       269.60|   112.31       224.62
2654094        #908 BOXER SHRT COL                 3    149.75       449.25|        3    119.80       359.40|   112.31       336.93
2654782        #916  BOXER SHRT L                  1    149.75       149.75|        1    119.80       119.80|   112.31       112.31
2654783        #916 BOXER SHRT XL                  1    149.75       149.75|        1    119.80       119.80|   112.31       112.31
2654101        #918 BOXER SHRT.L CO                2    149.75       299.50|        2    119.80       239.60|   112.31       224.62


Lopues East Center                                                                      Page: 2
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [2843] WEALTH COLLECTION COMPANY,INC
From     : 10/01/2009 To 10/13/2009
Printed  : 10/14/2009 5:58pm SHEENA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
2654099        #918 BOXER SHRT.S CO                1    149.75       149.75|        1    119.80       119.80|   112.31       112.31
2658133        2202-6 BRIEF S 6N1                  1    429.75       429.75|                                |   322.31       322.31
2656669        2807-3 3-1 BRF. M                   1    299.75       299.75|                                |   224.81       224.81
2654775        2830-6 BREIF 6N1 L                  2    449.75       899.50|                                |   337.31       674.62
2681880        2830-6 BREIF 6N1 WHT M              1    449.75       449.75|                                |   337.31       337.31
2681881        2830-6 BRIEF 6N1 WHT L              1    449.75       449.75|        1    359.80       359.80|   337.31       337.31
2675987        30-213 BRIEF MEDUIM                 2    209.75       419.50|        2    167.80       335.60|   157.31       314.62
2681741        3007-3 WHT 3N1 S                    1    159.75       159.75|                                |   119.81       119.81
2672146        3008 ASSTD. BRIEF 3 IN 1 XL         1    209.75       209.75|                                |   157.31       157.31
2677453        3010-3 MENS BRIEF XLARGE            1    209.75       209.75|        1    167.80       167.80|   157.31       157.31
2671151        3012-3 ASSTD BRIEF 3N1 XL           2    159.75       319.50|        2    127.80       255.60|   119.81       239.62
2671151        3012-3 ASSTD BRIEF 3N1 XL           1    159.75       159.75|        1    151.76       151.75|   119.81       119.81
2671151        3012-3 ASSTD BRIEF 3N1 XL           1    159.75       159.75|                                |   119.81       119.81
2675993        3014-3 BRIEF LARGE                  1    209.75       209.75|        1    167.80       167.80|   157.31       157.31
2675993        3014-3 BRIEF LARGE                  1    209.75       209.75|                                |   157.31       157.31
2675992        3014-3 BRIEF MEDUIM                 3    209.75       629.25|        3    167.80       503.40|   157.31       471.93
2675520        3019-3 BRF 3N1 M                    1    209.75       209.75|        1    167.80       167.80|   157.31       157.31
2675520        3019-3 BRF 3N1 M                    1    209.75       209.75|                                |   157.31       157.31
2675519        3019-3BRF 3N1 S                     1    209.75       209.75|        1    167.80       167.80|   157.31       157.31
2675519        3019-3BRF 3N1 S                     1    209.75       209.75|                                |   157.31       157.31
2676009        3020-3 BRIEF M                      1    209.75       209.75|        1    167.80       167.80|   157.31       157.31
2675985        3020-3BRIED LARGE                   1    209.75       209.75|                                |   149.81       149.81
2675988        3021-3 BRIEF LARGE                  1    209.75       209.75|                                |   157.31       157.31
2676313        3066-3 ASSTD BRIEF S                2    159.75       319.50|        2    111.82       223.60|   119.81       239.62
2677546        3333C BRIEF S                       1    219.75       219.75|                                |   164.81       164.81
2665011        3601 SINGU T/S LARGE                1    159.75       159.75|        1    111.82       111.80|   119.81       119.81
2665011        3601 SINGU T/S LARGE                1    159.75       159.75|                                |   119.81       119.81
2665010        3601 SINGU T/S MED                  1    159.75       159.75|        1    111.82       111.80|   119.81       119.81
2665009        3601 SINGU T/S SML                  4    159.75       639.00|        4    111.82       447.20|   119.81       479.24
2665012        3601 SINGU T/S XL                   1    159.75       159.75|                                |   119.81       119.81
2658136        6N1 2202-6 L WHT BRI                1    429.75       429.75|        1    343.80       343.80|   322.31       322.31
2658134        6N1 2202-6 M WHT BRI                1    429.75       429.75|                                |   322.31       322.31
2659430        7613 R/NECK WHT. M                  1    199.75       199.75|        1    159.80       159.80|   149.81       149.81
2660638        7614 V/N BLK M                      1    219.75       219.75|        1    175.80       175.80|   164.81       164.81
2665219        7614 V/N WHT                        1    199.75       199.75|                                |   149.81       149.81
2660565        7614 V/NECK BLK. L                  1    219.75       219.75|        1    175.80       175.80|   164.81       164.81
2660568        7614 V/NECK GRAY L                  1    219.75       219.75|        1    175.80       175.80|   164.81       164.81
2657649        7644 SANDO L BLK                    2    139.75       279.50|        2    111.80       223.60|   104.81       209.62
2657650        7644 SANDO XL BLK                   1    139.75       139.75|        1    111.80       111.80|   104.81       104.81
2657650        7644 SANDO XL BLK                   1    139.75       139.75|                                |   104.81       104.81
2662044        7702 SUPPORTER 3 M                  1    159.75       159.75|        1    143.78       143.80|   119.81       119.81
2665013        914 BOCUS SHORT SML                 1    119.75       119.75|        1    107.78       107.80|    89.81        89.81
2657646        914 BOXER SHORTS M A                1    119.75       119.75|        1     95.80        95.80|    89.81        89.81
2657646        914 BOXER SHORTS M A                1    119.75       119.75|                                |    89.81        89.81
2657233        914 BOXER XL ASSTD C                2    119.75       239.50|                                |    89.81       179.62
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
          Supplier Sub Total ---->            112.00              24,957.00|    68.00              11,477.25|             18,704.97
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
